"ae","dataset","camera_path","camera_step","pos_x","pos_y","view_x","view_y"
"1","vdb-volume","spiral-zoom","0","0.348631","-0.750951","-0.024563","0.054582"
"1","vdb-volume","spiral-zoom","1","0.352859","-0.750951","-0.024825","0.054485"
"1","vdb-volume","spiral-zoom","2","0.357071","-0.75091","-0.025085","0.054387"
"1","vdb-volume","spiral-zoom","3","0.36127","-0.750845","-0.025343","0.054289"
"1","vdb-volume","spiral-zoom","4","0.365453","-0.750745","-0.0256","0.054189"
"1","vdb-volume","spiral-zoom","5","0.36962","-0.750609","-0.025856","0.054088"
"1","vdb-volume","spiral-zoom","6","0.373771","-0.750438","-0.02611","0.053986"
"1","vdb-volume","spiral-zoom","7","0.377909","-0.750237","-0.026362","0.053883"
"1","vdb-volume","spiral-zoom","8","0.382031","-0.750005","-0.026614","0.053779"
"1","vdb-volume","spiral-zoom","9","0.386137","-0.749737","-0.026863","0.053674"
"1","vdb-volume","spiral-zoom","10","0.390229","-0.74944","-0.027112","0.053569"
"1","vdb-volume","spiral-zoom","11","0.394304","-0.749105","-0.027358","0.053462"
"1","vdb-volume","spiral-zoom","12","0.398364","-0.748741","-0.027604","0.053354"
"1","vdb-volume","spiral-zoom","13","0.402408","-0.74834","-0.027848","0.053246"
"1","vdb-volume","spiral-zoom","14","0.406436","-0.747908","-0.028091","0.053136"
"1","vdb-volume","spiral-zoom","15","0.410449","-0.747445","-0.028332","0.053026"
"1","vdb-volume","spiral-zoom","16","0.414445","-0.746946","-0.028573","0.052915"
"1","vdb-volume","spiral-zoom","17","0.418425","-0.746415","-0.028811","0.052803"
"1","vdb-volume","spiral-zoom","18","0.422389","-0.745854","-0.029049","0.052689"
"1","vdb-volume","spiral-zoom","19","0.426337","-0.745255","-0.029285","0.052575"
"1","vdb-volume","spiral-zoom","20","0.430268","-0.744625","-0.02952","0.052461"
"1","vdb-volume","spiral-zoom","21","0.434182","-0.743958","-0.029754","0.052345"
"1","vdb-volume","spiral-zoom","22","0.438082","-0.743265","-0.029987","0.052228"
"1","vdb-volume","spiral-zoom","23","0.441963","-0.742534","-0.030219","0.052111"
