"ae","dataset","camera_path","camera_step","pos_x","pos_y","pos_z","view_x","view_y","view_z"
"1","vdb-volume","spiral-zoom","0","0","2.25","-13.8151","0","0","1"
"1","vdb-volume","spiral-zoom","1","0.062123","2.31212","-13.805","-0.0045","-0.0045","1"
"1","vdb-volume","spiral-zoom","2","0.124152","2.37416","-13.7942","-0.009","-0.009","1"
"1","vdb-volume","spiral-zoom","3","0.186082","2.4361","-13.783","-0.013498","-0.0135","1"
"1","vdb-volume","spiral-zoom","4","0.247908","2.49795","-13.7712","-0.017996","-0.017999","1"
"1","vdb-volume","spiral-zoom","5","0.309625","2.5597","-13.7588","-0.022492","-0.022498","1"
"1","vdb-volume","spiral-zoom","6","0.371229","2.62136","-13.7458","-0.026987","-0.026997","1"
"1","vdb-volume","spiral-zoom","7","0.432714","2.68293","-13.7323","-0.031479","-0.031495","1"
"1","vdb-volume","spiral-zoom","8","0.494076","2.7444","-13.7183","-0.035969","-0.035992","1"
"1","vdb-volume","spiral-zoom","9","0.555309","2.80576","-13.7037","-0.040456","-0.040489","1"
"1","vdb-volume","spiral-zoom","10","0.616409","2.86703","-13.6886","-0.04494","-0.044985","1"
"1","vdb-volume","spiral-zoom","11","0.677371","2.9282","-13.6729","-0.04942","-0.04948","1"
"1","vdb-volume","spiral-zoom","12","0.73819","2.98927","-13.6567","-0.053896","-0.053975","1"
"1","vdb-volume","spiral-zoom","13","0.798861","3.05023","-13.6399","-0.058368","-0.058468","1"
"1","vdb-volume","spiral-zoom","14","0.859379","3.11109","-13.6226","-0.062835","-0.062959","1"
"1","vdb-volume","spiral-zoom","15","0.91974","3.17184","-13.6048","-0.067297","-0.06745","1"
"1","vdb-volume","spiral-zoom","16","0.979939","3.23249","-13.5864","-0.071753","-0.07194","1"
"1","vdb-volume","spiral-zoom","17","1.03997","3.29302","-13.5675","-0.076204","-0.076427","1"
"1","vdb-volume","spiral-zoom","18","1.09983","3.35345","-13.5481","-0.080649","-0.080914","1"
"1","vdb-volume","spiral-zoom","19","1.15952","3.41377","-13.5281","-0.085087","-0.085399","1"
"1","vdb-volume","spiral-zoom","20","1.21902","3.47397","-13.5076","-0.089518","-0.089882","1"
