"ae","dataset","camera_path","camera_step","pos_x","pos_y","view_x","view_y"
"1","streamlines","spiral","0","3.63983","-31.3103","-0.327943","3.21617"
"1","streamlines","spiral","1","17.156","-31.3103","-1.54323","2.94293"
"1","streamlines","spiral","2","28.868","-20.0916","-2.74305","1.81759"
"1","streamlines","spiral","3","36.3082","-6.45746","-3.28136","0.572288"
"1","streamlines","spiral","4","37.1205","-1.39094","-3.33404","0.101924"
"1","streamlines","spiral","5","29.9811","-9.56417","-3.10039","0.851232"
"1","streamlines","spiral","6","15.6391","-24.5116","-1.65702","2.70603"
"1","streamlines","spiral","7","-2.53515","-32.2354","0.30071","3.2413"
"1","streamlines","spiral","8","-19.0679","-23.0918","2.02249","2.51695"
"1","streamlines","spiral","9","-28.073","-4.26649","3.13534","0.437799"
"1","streamlines","spiral","10","-25.3996","1.23751","3.06645","-0.20423"
