"ae","dataset","camera_path","camera_step","pos_x","pos_y","pos_z","view_x","view_y","view_z"
"1","streamlines","spiral","0","0.1011","1.25466","-9.11808","0","0","1"
"1","streamlines","spiral","1","3.6377","5.18306","-7.40787","-0.391926","-0.435347","1"
"1","streamlines","spiral","2","4.48782","8.34218","-3.55124","-0.486138","-0.785441","0"
"1","streamlines","spiral","3","1.93373","10.0817","-0.483421","-0.203093","-0.97821","0"
"1","streamlines","spiral","4","-2.12002","9.98109","-0.679052","0.246145","-0.967065","0"
"1","streamlines","spiral","5","-4.38834","7.94512","-4.15752","0.497521","-0.741439","0"
"1","streamlines","spiral","6","-2.74291","4.27243","-8.10885","0.315174","-0.33443","1"
"1","streamlines","spiral","7","1.64563","-0.313741","-8.84547","-0.171165","0.173811","1"
"1","streamlines","spiral","8","4.57368","-4.6914","-5.19996","-0.495652","0.658944","1"
"1","streamlines","spiral","9","2.39442","-7.45018","-0.720769","-0.254146","0.964672","0"
"1","streamlines","spiral","10","-2.98081","-7.13863","-1.31108","0.341538","0.930147","0"
