"device","dataset","camera_path","camera_step","viewport","ao-NA-1-NA","img ao-NA-1-NA","ao-NA-5-NA","img ao-NA-5-NA","pathtracer-NA-NA-10","img pathtracer-NA-NA-10","pathtracer-NA-NA-5","img pathtracer-NA-NA-5","scivis-false-1-NA","img scivis-false-1-NA","scivis-false-5-NA","img scivis-false-5-NA","scivis-true-1-NA","img scivis-true-1-NA","scivis-true-5-NA","img scivis-true-5-NA"
"AMD Ryzen 7 1800X","streamlines","spiral","0","1024","15.0785","streamlines_ao_spiral_0_1024_NA_1_NA.png","6.3865","streamlines_ao_spiral_0_1024_NA_5_NA.png","4.2648","streamlines_pathtracer_spiral_0_1024_NA_NA_10.png","4.7519","streamlines_pathtracer_spiral_0_1024_NA_NA_5.png","14.5127","streamlines_scivis_spiral_0_1024_false_1_NA.png","5.9164","streamlines_scivis_spiral_0_1024_false_5_NA.png","11.6490","streamlines_scivis_spiral_0_1024_true_1_NA.png","5.3516","streamlines_scivis_spiral_0_1024_true_5_NA.png"
"AMD Ryzen 9 3900X","streamlines","spiral","0","1024","37.6722","streamlines_ao_spiral_0_1024_NA_1_NA.png","16.7763","streamlines_ao_spiral_0_1024_NA_5_NA.png","10.8296","streamlines_pathtracer_spiral_0_1024_NA_NA_10.png","12.0012","streamlines_pathtracer_spiral_0_1024_NA_NA_5.png","36.1884","streamlines_scivis_spiral_0_1024_false_1_NA.png","15.4032","streamlines_scivis_spiral_0_1024_false_5_NA.png","29.6453","streamlines_scivis_spiral_0_1024_true_1_NA.png","14.0460","streamlines_scivis_spiral_0_1024_true_5_NA.png"
"Intel Core i5-7500","streamlines","spiral","0","1024","9.2650","streamlines_ao_spiral_0_1024_NA_1_NA.png","3.9184","streamlines_ao_spiral_0_1024_NA_5_NA.png","2.6718","streamlines_pathtracer_spiral_0_1024_NA_NA_10.png","2.9472","streamlines_pathtracer_spiral_0_1024_NA_NA_5.png","8.4487","streamlines_scivis_spiral_0_1024_false_1_NA.png","3.7321","streamlines_scivis_spiral_0_1024_false_5_NA.png","7.4020","streamlines_scivis_spiral_0_1024_true_1_NA.png","3.4213","streamlines_scivis_spiral_0_1024_true_5_NA.png"
"Intel Core i7-8565U","streamlines","spiral","0","1024","8.5820","streamlines_ao_spiral_0_1024_NA_1_NA.png","3.4724","streamlines_ao_spiral_0_1024_NA_5_NA.png","2.3765","streamlines_pathtracer_spiral_0_1024_NA_NA_10.png","2.7896","streamlines_pathtracer_spiral_0_1024_NA_NA_5.png","7.4832","streamlines_scivis_spiral_0_1024_false_1_NA.png","3.1729","streamlines_scivis_spiral_0_1024_false_5_NA.png","5.5823","streamlines_scivis_spiral_0_1024_true_1_NA.png","2.6475","streamlines_scivis_spiral_0_1024_true_5_NA.png"
"Intel Xeon E5-2630 v4","streamlines","spiral","0","1024","25.4745","streamlines_ao_spiral_0_1024_NA_1_NA.png","11.2755","streamlines_ao_spiral_0_1024_NA_5_NA.png","7.4807","streamlines_pathtracer_spiral_0_1024_NA_NA_10.png","8.2198","streamlines_pathtracer_spiral_0_1024_NA_NA_5.png","24.7342","streamlines_scivis_spiral_0_1024_false_1_NA.png","10.4509","streamlines_scivis_spiral_0_1024_false_5_NA.png","20.7926","streamlines_scivis_spiral_0_1024_true_1_NA.png","9.8496","streamlines_scivis_spiral_0_1024_true_5_NA.png"
"AMD Ryzen 7 1800X","streamlines","spiral","0","2048","3.8119","streamlines_ao_spiral_0_2048_NA_1_NA.png","1.5985","streamlines_ao_spiral_0_2048_NA_5_NA.png","1.0787","streamlines_pathtracer_spiral_0_2048_NA_NA_10.png","1.2010","streamlines_pathtracer_spiral_0_2048_NA_NA_5.png","3.6605","streamlines_scivis_spiral_0_2048_false_1_NA.png","1.4863","streamlines_scivis_spiral_0_2048_false_5_NA.png","2.9320","streamlines_scivis_spiral_0_2048_true_1_NA.png","1.3491","streamlines_scivis_spiral_0_2048_true_5_NA.png"
"AMD Ryzen 9 3900X","streamlines","spiral","0","2048","9.6145","streamlines_ao_spiral_0_2048_NA_1_NA.png","4.2458","streamlines_ao_spiral_0_2048_NA_5_NA.png","2.7481","streamlines_pathtracer_spiral_0_2048_NA_NA_10.png","3.0655","streamlines_pathtracer_spiral_0_2048_NA_NA_5.png","9.2474","streamlines_scivis_spiral_0_2048_false_1_NA.png","3.9166","streamlines_scivis_spiral_0_2048_false_5_NA.png","7.5863","streamlines_scivis_spiral_0_2048_true_1_NA.png","3.5849","streamlines_scivis_spiral_0_2048_true_5_NA.png"
"Intel Core i5-7500","streamlines","spiral","0","2048","2.3405","streamlines_ao_spiral_0_2048_NA_1_NA.png","0.9631","streamlines_ao_spiral_0_2048_NA_5_NA.png","0.6560","streamlines_pathtracer_spiral_0_2048_NA_NA_10.png","0.7543","streamlines_pathtracer_spiral_0_2048_NA_NA_5.png","2.1695","streamlines_scivis_spiral_0_2048_false_1_NA.png","0.9488","streamlines_scivis_spiral_0_2048_false_5_NA.png","1.8724","streamlines_scivis_spiral_0_2048_true_1_NA.png","0.8609","streamlines_scivis_spiral_0_2048_true_5_NA.png"
"Intel Core i7-8565U","streamlines","spiral","0","2048","2.0205","streamlines_ao_spiral_0_2048_NA_1_NA.png","0.9474","streamlines_ao_spiral_0_2048_NA_5_NA.png","0.5815","streamlines_pathtracer_spiral_0_2048_NA_NA_10.png","0.6430","streamlines_pathtracer_spiral_0_2048_NA_NA_5.png","2.0385","streamlines_scivis_spiral_0_2048_false_1_NA.png","0.8664","streamlines_scivis_spiral_0_2048_false_5_NA.png","1.6025","streamlines_scivis_spiral_0_2048_true_1_NA.png","0.7360","streamlines_scivis_spiral_0_2048_true_5_NA.png"
"Intel Xeon E5-2630 v4","streamlines","spiral","0","2048","6.5160","streamlines_ao_spiral_0_2048_NA_1_NA.png","2.8610","streamlines_ao_spiral_0_2048_NA_5_NA.png","1.8233","streamlines_pathtracer_spiral_0_2048_NA_NA_10.png","2.1223","streamlines_pathtracer_spiral_0_2048_NA_NA_5.png","6.2895","streamlines_scivis_spiral_0_2048_false_1_NA.png","2.7150","streamlines_scivis_spiral_0_2048_false_5_NA.png","5.1955","streamlines_scivis_spiral_0_2048_true_1_NA.png","2.4256","streamlines_scivis_spiral_0_2048_true_5_NA.png"
