"ae","dataset","camera_path","camera_step","pos_x","pos_y","view_x","view_y"
"1","streamlines","spiral-zoom","0","-8.26133","-36.0488","0.918208","3.76751"
"1","streamlines","spiral-zoom","1","8.79789","-36.0488","-0.838396","3.79535"
"1","streamlines","spiral-zoom","2","23.5558","-25.5622","-2.68524","2.74632"
"1","streamlines","spiral-zoom","3","30.744","-14.4991","-3.48253","1.62305"
"1","streamlines","spiral-zoom","4","28.02","-10.8711","-3.53437","1.33323"
"1","streamlines","spiral-zoom","5","17.568","-14.9204","-2.84443","2.14834"
"1","streamlines","spiral-zoom","6","4.92665","-19.6956","-0.699711","3.43397"
"1","streamlines","spiral-zoom","7","-4.32993","-17.7075","0.990393","3.28114"
"1","streamlines","spiral-zoom","8","-7.80449","-8.4411","2.1772","2.16345"
"1","streamlines","spiral-zoom","9","-6.88623","0.319073","2.38044","-0.318947"
"1","streamlines","spiral-zoom","10","-4.10737","0.470957","1.86569","-0.517196"
