"ae","dataset","camera_path","camera_step","pos_x","pos_y","pos_z","view_x","view_y","view_z"
"1","streamlines","spiral-zoom","0","0.1011","1.25466","-9.11808","0","0","1"
"1","streamlines","spiral-zoom","1","3.37579","4.89214","-6.86628","-0.391926","-0.435347","1"
"1","streamlines","spiral-zoom","2","3.83811","7.29246","-3.03926","-0.486138","-0.785441","0"
"1","streamlines","spiral-zoom","3","1.52659","8.12061","-0.397008","-0.203093","-0.97821","0"
"1","streamlines","spiral-zoom","4","-1.46208","7.39616","-0.505885","0.246145","-0.967065","0"
"1","streamlines","spiral-zoom","5","-2.72602","5.46782","-2.65307","0.497521","-0.741439","0"
"1","streamlines","spiral-zoom","6","-1.47924","2.93155","-4.54783","0.315174","-0.33443","1"
"1","streamlines","spiral-zoom","7","0.844971","0.49929","-4.3091","-0.171165","0.173811","1"
"1","streamlines","spiral-zoom","8","1.92395","-1.16873","-2.17527","-0.495652","0.658944","1"
"1","streamlines","spiral-zoom","9","0.865941","-1.64847","-0.303339","-0.254146","0.964672","0"
"1","streamlines","spiral-zoom","10","-0.698511","-0.923007","-0.410117","0.341538","0.930147","0"
