"ae","dataset","camera_path","camera_step","pos_x","pos_y","view_x","view_y"
"1","vdb-volume","orbit-y","0","-19.0358","83.089","1.36228","-5.94618"
"1","vdb-volume","orbit-y","1","19.0353","83.089","-1.3451","-5.95093"
"1","vdb-volume","orbit-y","2","53.4799","66.3784","-3.73334","-4.82715"
"1","vdb-volume","orbit-y","3","77.3265","35.8718","-5.56819","-2.49064"
"1","vdb-volume","orbit-y","4","85.1976","-2.73965","-6.09892","0.094293"
"1","vdb-volume","orbit-y","5","74.3791","-41.6405","-5.27556","3.06692"
"1","vdb-volume","orbit-y","6","45.7274","-71.939","-3.26602","5.15287"
"1","vdb-volume","orbit-y","7","4.30431","-85.1328","-0.309128","6.09253"
"1","vdb-volume","orbit-y","8","-40.4325","-75.0424","2.83568","5.40302"
"1","vdb-volume","orbit-y","9","-75.1389","-40.2535","5.4255","2.78731"
"1","vdb-volume","orbit-y","10","-84.2749","12.8031","6.04949","-0.775562"
