"ae","dataset","camera_path","camera_step","pos_x","pos_y","pos_z","view_x","view_y","view_z"
"1","vdb-volume","orbit-y","0","0","2.25","-13.8151","0","0","1"
"1","vdb-volume","orbit-y","1","6.01436","2.25","-12.4372","-0.435346","0","1"
"1","vdb-volume","orbit-y","2","10.851","2.25","-8.55067","-0.785442","0","1"
"1","vdb-volume","orbit-y","3","13.5141","2.25","-2.86825","-0.97821","0","0"
"1","vdb-volume","orbit-y","4","13.3601","2.25","3.51634","-0.967066","0","0"
"1","vdb-volume","orbit-y","5","10.2431","2.25","9.27023","-0.741439","0","-1"
"1","vdb-volume","orbit-y","6","4.6202","2.25","13.0197","-0.33443","0","-1"
"1","vdb-volume","orbit-y","7","-2.40121","2.25","13.6048","0.173811","0","-1"
"1","vdb-volume","orbit-y","8","-9.10339","2.25","10.3916","0.658944","0","-1"
"1","vdb-volume","orbit-y","9","-13.3271","2.25","3.63964","0.964672","0","0"
"1","vdb-volume","orbit-y","10","-12.8501","2.25","-5.07274","0.930147","0","0"
