"device","dataset","camera_path","camera_step","viewport","ao-NA-1-NA","img ao-NA-1-NA","ao-NA-5-NA","img ao-NA-5-NA","pathtracer-NA-NA-10","img pathtracer-NA-NA-10","pathtracer-NA-NA-5","img pathtracer-NA-NA-5","scivis-false-1-NA","img scivis-false-1-NA","scivis-false-5-NA","img scivis-false-5-NA","scivis-true-1-NA","img scivis-true-1-NA","scivis-true-5-NA","img scivis-true-5-NA"
"AMD Ryzen 7 1800X","vdb-volume","orbit-y","0","1024","23.0092","vdb-volume_ao_orbit-y_0_1024_NA_1_NA.png","20.6197","vdb-volume_ao_orbit-y_0_1024_NA_5_NA.png","2.2932","vdb-volume_pathtracer_orbit-y_0_1024_NA_NA_10.png","2.5968","vdb-volume_pathtracer_orbit-y_0_1024_NA_NA_5.png","23.5419","vdb-volume_scivis_orbit-y_0_1024_false_1_NA.png","23.4912","vdb-volume_scivis_orbit-y_0_1024_false_5_NA.png","18.1686","vdb-volume_scivis_orbit-y_0_1024_true_1_NA.png","18.1613","vdb-volume_scivis_orbit-y_0_1024_true_5_NA.png"
"AMD Ryzen 9 3900X","vdb-volume","orbit-y","0","1024","51.5400","vdb-volume_ao_orbit-y_0_1024_NA_1_NA.png","47.4868","vdb-volume_ao_orbit-y_0_1024_NA_5_NA.png","4.7812","vdb-volume_pathtracer_orbit-y_0_1024_NA_NA_10.png","5.4327","vdb-volume_pathtracer_orbit-y_0_1024_NA_NA_5.png","52.0923","vdb-volume_scivis_orbit-y_0_1024_false_1_NA.png","52.2958","vdb-volume_scivis_orbit-y_0_1024_false_5_NA.png","39.3258","vdb-volume_scivis_orbit-y_0_1024_true_1_NA.png","39.2272","vdb-volume_scivis_orbit-y_0_1024_true_5_NA.png"
"Intel Core i5-7500","vdb-volume","orbit-y","0","1024","16.0230","vdb-volume_ao_orbit-y_0_1024_NA_1_NA.png","14.5243","vdb-volume_ao_orbit-y_0_1024_NA_5_NA.png","1.4753","vdb-volume_pathtracer_orbit-y_0_1024_NA_NA_10.png","1.6612","vdb-volume_pathtracer_orbit-y_0_1024_NA_NA_5.png","16.4967","vdb-volume_scivis_orbit-y_0_1024_false_1_NA.png","16.3341","vdb-volume_scivis_orbit-y_0_1024_false_5_NA.png","12.1958","vdb-volume_scivis_orbit-y_0_1024_true_1_NA.png","12.1840","vdb-volume_scivis_orbit-y_0_1024_true_5_NA.png"
"Intel Core i7-8565U","vdb-volume","orbit-y","0","1024","15.8616","vdb-volume_ao_orbit-y_0_1024_NA_1_NA.png","13.1043","vdb-volume_ao_orbit-y_0_1024_NA_5_NA.png","1.5577","vdb-volume_pathtracer_orbit-y_0_1024_NA_NA_10.png","1.6951","vdb-volume_pathtracer_orbit-y_0_1024_NA_NA_5.png","15.4464","vdb-volume_scivis_orbit-y_0_1024_false_1_NA.png","15.4481","vdb-volume_scivis_orbit-y_0_1024_false_5_NA.png","12.1983","vdb-volume_scivis_orbit-y_0_1024_true_1_NA.png","8.6735","vdb-volume_scivis_orbit-y_0_1024_true_5_NA.png"
"Intel Xeon E5-2630 v4","vdb-volume","orbit-y","0","1024","45.8699","vdb-volume_ao_orbit-y_0_1024_NA_1_NA.png","42.1143","vdb-volume_ao_orbit-y_0_1024_NA_5_NA.png","4.3196","vdb-volume_pathtracer_orbit-y_0_1024_NA_NA_10.png","4.9043","vdb-volume_pathtracer_orbit-y_0_1024_NA_NA_5.png","46.9662","vdb-volume_scivis_orbit-y_0_1024_false_1_NA.png","47.0697","vdb-volume_scivis_orbit-y_0_1024_false_5_NA.png","35.5427","vdb-volume_scivis_orbit-y_0_1024_true_1_NA.png","35.7082","vdb-volume_scivis_orbit-y_0_1024_true_5_NA.png"
"AMD Ryzen 7 1800X","vdb-volume","orbit-y","0","2048","5.8306","vdb-volume_ao_orbit-y_0_2048_NA_1_NA.png","5.2228","vdb-volume_ao_orbit-y_0_2048_NA_5_NA.png","0.5764","vdb-volume_pathtracer_orbit-y_0_2048_NA_NA_10.png","0.6543","vdb-volume_pathtracer_orbit-y_0_2048_NA_NA_5.png","5.9956","vdb-volume_scivis_orbit-y_0_2048_false_1_NA.png","5.9631","vdb-volume_scivis_orbit-y_0_2048_false_5_NA.png","4.6043","vdb-volume_scivis_orbit-y_0_2048_true_1_NA.png","4.6248","vdb-volume_scivis_orbit-y_0_2048_true_5_NA.png"
"AMD Ryzen 9 3900X","vdb-volume","orbit-y","0","2048","13.1293","vdb-volume_ao_orbit-y_0_2048_NA_1_NA.png","12.1186","vdb-volume_ao_orbit-y_0_2048_NA_5_NA.png","1.2009","vdb-volume_pathtracer_orbit-y_0_2048_NA_NA_10.png","1.3653","vdb-volume_pathtracer_orbit-y_0_2048_NA_NA_5.png","13.3351","vdb-volume_scivis_orbit-y_0_2048_false_1_NA.png","13.3132","vdb-volume_scivis_orbit-y_0_2048_false_5_NA.png","10.0161","vdb-volume_scivis_orbit-y_0_2048_true_1_NA.png","10.0522","vdb-volume_scivis_orbit-y_0_2048_true_5_NA.png"
"Intel Core i5-7500","vdb-volume","orbit-y","0","2048","3.9987","vdb-volume_ao_orbit-y_0_2048_NA_1_NA.png","3.6804","vdb-volume_ao_orbit-y_0_2048_NA_5_NA.png","0.3713","vdb-volume_pathtracer_orbit-y_0_2048_NA_NA_10.png","0.4208","vdb-volume_pathtracer_orbit-y_0_2048_NA_NA_5.png","4.1492","vdb-volume_scivis_orbit-y_0_2048_false_1_NA.png","4.1793","vdb-volume_scivis_orbit-y_0_2048_false_5_NA.png","3.0590","vdb-volume_scivis_orbit-y_0_2048_true_1_NA.png","3.1123","vdb-volume_scivis_orbit-y_0_2048_true_5_NA.png"
"Intel Core i7-8565U","vdb-volume","orbit-y","0","2048","3.8386","vdb-volume_ao_orbit-y_0_2048_NA_1_NA.png","3.5996","vdb-volume_ao_orbit-y_0_2048_NA_5_NA.png","0.3651","vdb-volume_pathtracer_orbit-y_0_2048_NA_NA_10.png","0.4207","vdb-volume_pathtracer_orbit-y_0_2048_NA_NA_5.png","3.6781","vdb-volume_scivis_orbit-y_0_2048_false_1_NA.png","3.9259","vdb-volume_scivis_orbit-y_0_2048_false_5_NA.png","2.9814","vdb-volume_scivis_orbit-y_0_2048_true_1_NA.png","2.9504","vdb-volume_scivis_orbit-y_0_2048_true_5_NA.png"
"Intel Xeon E5-2630 v4","vdb-volume","orbit-y","0","2048","11.7673","vdb-volume_ao_orbit-y_0_2048_NA_1_NA.png","10.7091","vdb-volume_ao_orbit-y_0_2048_NA_5_NA.png","1.0855","vdb-volume_pathtracer_orbit-y_0_2048_NA_NA_10.png","1.2295","vdb-volume_pathtracer_orbit-y_0_2048_NA_NA_5.png","11.9650","vdb-volume_scivis_orbit-y_0_2048_false_1_NA.png","11.9941","vdb-volume_scivis_orbit-y_0_2048_false_5_NA.png","9.1181","vdb-volume_scivis_orbit-y_0_2048_true_1_NA.png","9.1082","vdb-volume_scivis_orbit-y_0_2048_true_5_NA.png"
