"ae","dataset","camera_path","camera_step","pos_x","pos_y","view_x","view_y"
"2","liquid formation","path_siny","0","-0.227006","0.028441","0.196128","-0.024572"
"2","liquid formation","path_siny","9","-0.187936","0.028441","0.195805","-0.027027"
"2","liquid formation","path_siny","19","-0.149058","0.026911","0.195499","-0.029158"
"2","liquid formation","path_siny","29","-0.110501","0.022806","0.195343","-0.030183"
"2","liquid formation","path_siny","39","-0.072296","0.0159","0.195452","-0.02947"
"2","liquid formation","path_siny","49","-0.034358","0.006855","0.195849","-0.026705"
"2","liquid formation","path_siny","59","0.003479","-0.002987","0.196432","-0.022009"
"2","liquid formation","path_siny","69","0.041417","-0.012031","0.197015","-0.01597"
"2","liquid formation","path_siny","79","0.079622","-0.018937","0.197431","-0.009549"
"2","liquid formation","path_siny","89","0.118179","-0.023042","0.197623","-0.00388"
"2","liquid formation","path_siny","99","0.157057","-0.024572","0.197661","-0"
