"ae","dataset","camera_path","camera_step","pos_x","pos_y","pos_z","view_x","view_y","view_z"
"2","liquid formation","path_siny","0","0","-1.15744","0","0","1","0"
"2","liquid formation","path_siny","9","0","-0.961312","0.0245721","0","1","0"
"2","liquid formation","path_siny","19","0","-0.765181","0.0413428","0","1","0"
"2","liquid formation","path_siny","29","0","-0.56905","0.0449874","0","1","0"
"2","liquid formation","path_siny","39","0","-0.372919","0.0343488","0","1","0"
"2","liquid formation","path_siny","49","0","-0.176787","0.0128047","0","1","0"
"2","liquid formation","path_siny","59","0","0.0193439","-0.0128047","0","1","0"
"2","liquid formation","path_siny","69","0","0.215475","-0.0343488","0","1","0"
"2","liquid formation","path_siny","79","0","0.411606","-0.0449874","0","1","0"
"2","liquid formation","path_siny","89","0","0.607738","-0.0413428","0","1","0"
"2","liquid formation","path_siny","99","0","0.803869","-0.0245721","0","1","0"
