"device","dataset","camera_path","camera_step","viewport","ssim","quad_tess","img quad_tess","geo_quad","img geo_quad","stpa","img stpa","quad_inst","img quad_inst","poly_tess","img poly_tess"
"NVIDIA GeForce GTX 1080 Ti","liquid formation","path_siny","0","1024 1024","0.9939","540.5814","2020-01-09T14-38-34-494.png","531.9545","2020-01-09T14-38-34-549.png","533.2452","2020-01-09T15-40-59-933.png","612.8878","2020-01-09T14-51-18-032.png","273.1643","2020-01-09T14-51-18-228.png"
"NVIDIA Quadro M6000 24GB","liquid formation","path_siny","0","1024 1024","0.9939","324.8420","2020-01-09T14-38-34-494.png","318.9121","2020-01-09T14-38-34-549.png","318.8308","2020-01-09T15-40-59-933.png","223.9727","2020-01-09T14-51-18-032.png","120.6955","2020-01-09T14-51-18-228.png"
"NVIDIA TITAN X (Pascal)","liquid formation","path_siny","0","1024 1024","0.9939","487.0707","2020-01-09T14-38-34-494.png","488.4339","2020-01-09T14-38-34-549.png","487.8168","2020-01-09T15-40-59-933.png","562.5499","2020-01-09T14-51-18-032.png","229.9982","2020-01-09T14-51-18-228.png"
"NVIDIA TITAN Xp","liquid formation","path_siny","0","1024 1024","0.9939","510.6209","2020-01-09T14-38-34-494.png","489.9967","2020-01-09T14-38-34-549.png","494.4865","2020-01-09T15-40-59-933.png","553.3177","2020-01-09T14-51-18-032.png","263.3741","2020-01-09T14-51-18-228.png"
"Radeon (TM) RX 480 Graphics","liquid formation","path_siny","0","1024 1024","0.9939","83.8596","2020-01-09T14-38-34-494.png","45.4120","2020-01-09T14-38-34-549.png","45.1930","2020-01-09T15-40-59-933.png","42.6916","2020-01-09T14-51-18-032.png","17.1041","2020-01-09T14-51-18-228.png"
"Radeon Vega Frontier Edition","liquid formation","path_siny","0","1024 1024","0.9939","307.2300","2020-01-09T14-38-34-494.png","281.7195","2020-01-09T14-38-34-549.png","288.7453","2020-01-09T15-40-59-933.png","387.4858","2020-01-09T14-51-18-032.png","77.3102","2020-01-09T14-51-18-228.png"
"NVIDIA GeForce GTX 1080 Ti","liquid formation","path_siny","0","2048 2048","0.9939","422.5721","2020-01-09T14-38-34-494.png","419.5757","2020-01-09T14-38-34-549.png","419.2151","2020-01-09T15-40-59-933.png","560.6230","2020-01-09T14-51-18-032.png","251.9876","2020-01-09T14-51-18-228.png"
"NVIDIA Quadro M6000 24GB","liquid formation","path_siny","0","2048 2048","0.9939","262.6492","2020-01-09T14-38-34-494.png","268.4903","2020-01-09T14-38-34-549.png","268.6114","2020-01-09T15-40-59-933.png","223.9461","2020-01-09T14-51-18-032.png","122.2088","2020-01-09T14-51-18-228.png"
"NVIDIA TITAN X (Pascal)","liquid formation","path_siny","0","2048 2048","0.9939","389.4597","2020-01-09T14-38-34-494.png","385.9335","2020-01-09T14-38-34-549.png","386.7619","2020-01-09T15-40-59-933.png","512.8994","2020-01-09T14-51-18-032.png","212.4631","2020-01-09T14-51-18-228.png"
"NVIDIA TITAN Xp","liquid formation","path_siny","0","2048 2048","0.9939","423.2159","2020-01-09T14-38-34-494.png","391.4109","2020-01-09T14-38-34-549.png","390.0065","2020-01-09T15-40-59-933.png","533.6464","2020-01-09T14-51-18-032.png","243.2350","2020-01-09T14-51-18-228.png"
"Radeon (TM) RX 480 Graphics","liquid formation","path_siny","0","2048 2048","0.9939","58.7544","2020-01-09T14-38-34-494.png","28.5558","2020-01-09T14-38-34-549.png","28.3867","2020-01-09T15-40-59-933.png","42.5699","2020-01-09T14-51-18-032.png","17.0915","2020-01-09T14-51-18-228.png"
"Radeon Vega Frontier Edition","liquid formation","path_siny","0","2048 2048","0.9939","296.9386","2020-01-09T14-38-34-494.png","126.5704","2020-01-09T14-38-34-549.png","125.8425","2020-01-09T15-40-59-933.png","315.5161","2020-01-09T14-51-18-032.png","77.2642","2020-01-09T14-51-18-228.png"
"NVIDIA GeForce GTX 1080 Ti","liquid formation","path_siny","0","512 512","0.9939","786.9864","2020-01-09T14-38-34-494.png","865.0519","2020-01-09T14-38-34-549.png","865.0669","2020-01-09T15-40-59-933.png","615.3505","2020-01-09T14-51-18-032.png","297.4632","2020-01-09T14-51-18-228.png"
"NVIDIA Quadro M6000 24GB","liquid formation","path_siny","0","512 512","0.9939","416.5608","2020-01-09T14-38-34-494.png","502.7399","2020-01-09T14-38-34-549.png","501.2104","2020-01-09T15-40-59-933.png","224.0053","2020-01-09T14-51-18-032.png","138.3061","2020-01-09T14-51-18-228.png"
"NVIDIA TITAN X (Pascal)","liquid formation","path_siny","0","512 512","0.9939","703.1409","2020-01-09T14-38-34-494.png","790.1391","2020-01-09T14-38-34-549.png","791.1079","2020-01-09T15-40-59-933.png","562.5373","2020-01-09T14-51-18-032.png","270.5921","2020-01-09T14-51-18-228.png"
